शहर,শহর
अनुमोदित,অনুমোদিত
अनुराधा,অনুরাধা
अनुसूची,অনুসূচি
अनुस्मारक,অনুস্মারক
अनूदित,অনূদিত
अनैच्छिक,অনৈচ্ছিক
अंत,অন্ত
अंत: स्रावी,অন্তঃস্রাবী
अन्तरंग,অন্তরঙ্গ
अंतरा,অন্তরা
अंतराल,অন্তরাল
अंतर्जात,অন্তর্জাতীয়
अंतर्विभागीय,অন্তর্বিভাগীয়
अंतिम,অন্তিম
आंत,অন্ত্র
अंधा,অন্ধ
अंधेरा,অন্ধকার
अन्वेषण,অন্বেষণ
अपठित,অপঠিত
अपराजित,অপরাজিত
अपराजेय,অপরাজেয়
अपराध,অপরাধ
अपराह्न,অপরাহ্ন
अपर्णा,অপর্ণা
अपर्याप्त,অপর্যাপ্ত
अपश्रुति,অপশ্রুতি
अपहरण,অপহরণ
अपच,অপাক
अपान,অপান
अनावरण,অপাবরণ
अपूर्ण,অপূর্ণ
अप्रत्यक्ष,অপ্রত্যক্ষ
अप्रत्याशित,অপ্রত্যাশিত
अप्रिय,অপ্রিয়
अचेतन,অবচেতন
अवतरण,অবতরণ
अवतार,অবতার
अबाध,অবদ্ধ
अबनी,অবনি
अवशेष,অবশেষ
अविक्रेय,অবিক্রেয়
अविनाश,অবিনাশ
अविवेक,অবিবেক
अविस्मरणीय,অবিস্মরণীয়
अवैतनिक,অবৈতনিক
अवैध,অবৈধ
अभी,অব্ধি
अवैयक्तिक,অব্যক্তিক
अभागा,অভাগ্য
ओवी,অভি
अधिग्रहण,অভিগ্রহণ
अभिजीत,অভিজিত্
अभिनेता,অভিনেতা
अभिनेत्री,অভিনেত্রী
अभिव्यक्ति,অভিব্যক্তি
अभिभावक,অভিভাবক
अभिमान,অভিমান
अभियान,অভিযান
अभियुक्त,অভিযুক্ত
अभ्यास,অভ্যাস
अमांडा,অমন্দ
अमर,অমর
अमरावती,অমরাবতী
अमर्त्य,অমর্ত্য
अमल,অমল
अमला,অমলা
अमिताभ,অমিতাভ
अमिय,অমিয়া
अमिश्रित,অমিশ্র
अमूर्त,অমূর্ত
अमूल्य,অমূল্য
अमृत,অমৃত
अम्बु,অম্বু
अम्ल,অম্ল
अम्लीकरण,অম্লীকরণ
अयोग्य,অযোগ্য
अरक्षित,অরক্ষিত
आरती,অরতি
अरुण,অরুণ
अरुंधति,অরুন্ধতী
अर्चना,অর্চন
अर्जन,অর্জন
अर्जुन,অর্জুন
ओवन,অর্ণব
अर्थ,অর্থ
आधा,অর্ধ
अद्र्धेंदु,অর্ধেন্দু
अलका,অলকা
अलकनंदा,অলকানন্দা
आलसी,অলস
अस्सी,অশীতি
अशुद्ध,অশুদ্ধ
अशोक,অশোক
अश्विनी,অশ্বিনী
अश्राव्य,অশ্রাব্য
आँसू,অশ্রু
आठ,অষ্ট
असंगत,অসংগত
असंयमिता,অসংযম
असंग,অসঙ্গ
असंतुष्ट,অসন্তুষ্ট
असंतोष,অসন্তুষ্টি
असफल,অসফল
असमान,অসম
असमतल,অসমতল
असमानता,অসমতা
असमिया,অসমিয়া
असमर्थ,অসমর্থ
असमर्थित,অসমর্থিত
असंभव,অসম্ভব
असहाय,অসহায়
असहनीय,অসহ্য
असंवैधानिक,অসাংবিধানিক
असाधारण,অসাধারণ
असीमित,অসীম
असुर,অসুর
आस्ट्रेलियन,অস্ট্রেলিয়ান
अशी,অস্হি
अस्पृश्य,অস্পৃশ্য
ओह,অহো
सिड,সিড
अफसोस,আফসোস
आवाज,আওয়াজ
अंगूठी,আংটি
आंशिक,আংশিক
अंकुड़ा,আঁকড়া
आंख,আঁখি
आंधी,আঁধি
अखण्ड,আকন্দ
आकर्षण,আকর্ষণ
आकार,আকার
आकाश,আকাশ
अकुला,আকুলা
आकर्षित,আকৃষ্ট
अकरम,আক্রম
आक्रमण,আক্রমণ
अखाड़ा,আখড়া
अखरोट,আখরোট
आग,আগড়
आगमन,আগম
आयातित,আগমিত
अंगूर,আঙুর
आचरण,আচার
आज,আজ
अजीब,আজব
आजा,আজা
आजाद,আজাদ
अंजा,আঞ্জা
अंजुमन,আঞ্জুমান
आटा,আটা
अठहत्तर,আটাত্তর
अट्ठाईस,আঠাশ
अठारह,আঠারো
अड्डा,আড্ডা
आणविक,আণব
आतंक,আতঙ্ক
आत्मा,আত্ম
अत्यधिक,আত্যন্তিক
आदर्श,আদর্শ
अडारा,আদাড়
आदित्य,আদিত্য
आदित्यमंडल,আদিত্যমণ্ডল
आदिम,আদিম
आद्य,আদ্যা
अदरक,আদ্রক
आधुनिक,আধুনিক
आधुनिकीकरण,আধুনিকীকরণ
आध्यात्मिक,আধ্যাত্মিক
आनंद,আনন্দ
अन्ना,আনা
अनानस,আনারস
आनुपातिक,আনুপাতিক
आंदोलन,আন্দোলন
आपत्ति,আপত্তি
अपना,আপন
अपील,আপিল
अफ़ग़ान,আফগান
आवरण,আবরণ
आबनूस,আবলুস
अबीर,আবির
आवेदक,আবেদক
आवेदन,আবেদন
आम,আম
अमन,আমন
आमंत्रित,আমন্ত্রিত
अमाउरी,আমরি
अमानी,আমানি
अमीन,আমিন
अमीर,আমির
अंबर,আম্বা
अम्र,আম্র
आयतन,আয়তন
आयन,আয়ন
आईना,আয়না
अयमान,আয়ম
आयोग,আয়োগ
आयोजक,আয়োজক
अरणि,আরণি
अरब,আরব
अरमानी,আরমানি
आराध्य,আরাধ্য
आराम,আরাম
आर्य,আর্য
अल,আল
अल्टा,আলতা
अल्पना,আলপনা
अलमारी,আলমারি
आलस,আলস্য
अला,আলা
आलम,আলাং
अलीम,আলিম
अलीना,আলীন
आलू,আলু
अल्फा,আলুফা
अल्लाह,আল্লা
आशा,আশা
आशीष,আশিস
आश्चर्य,আশ্চর্য
आश्वासन,আশ্বাস
अश्विन,আশ্বিন
आश्रय,আশ্রয়
असली,আসল
आना,আসা
असिन,আসীন
आस्तिक,আস্তিক
आस्तीन,আস্তিন
अहीर,আহির
ईगल,ইগল
इंच,ইঞ্চি
इंजन,ইঞ্জিন
इंजीनियर,ইঞ্জিনিয়ার
ईंट,ইট
ईटीए,ইটা
इतिहास,ইতিহাস
इतु,ইতু
ईद,ইদ
इंस्पेक्टर,ইনস্পেক্টর
इंसाफ,ইনসাফ
इनाम,ইনাম
इंदारा,ইন্দারা
इंदिरा,ইন্দিরা
इंदु,ইন্দু
इंडो,ইন্দো
इंद्र,ইন্দ্র
इंद्राणी,ইন্দ্রাণী
ईंधन,ইন্ধন
ईमान,ইমান
ईमाम,ইমাম
इयाद,ইয়াদ
ईरा,ইরা
ईरानी,ইরানি
इरावदी,ইরাবতী
इला,ইলা
इलाही,ইলাহি
इसु,ইষু
इसलाम,ইসলাম
इस्तीफा,ইস্তফা
इस्पात,ইস্পাত
ईशा,ঈশ
इशान,ঈশান
ईसा,ঈষ
उच्च,উঁচু
उच्चारण,উচ্চারণ
उच्छृंखल,উচ্ছৃঙ্খল
उज़बेक,উজবেক
उज्ज्वल,উজ্জ্বল
ऊंट,উট
उठाओ,উঠানো
उरी,উড়ি
उड़ान,উড্ডয়ন
उत्पत्ति,উত্পত্তি
उत्तर,উত্তর
उत्तल,উত্তল
उत्तेजक,উত্তেজক
उत्तेजना,উত্তেজন
उत्तोलक,উত্তোলক
उठालिया,উত্তোলিত
ऊद,উদ
उदार,উদার
उदाहरण,উদাহরণ
उद्धृत,উদাহৃত
उद्यमी,উদ্যমী
उनासी,উনাশি
उन्नीस,উনিশ
उन्नत,উন্নত
उप,উপ
उपकर,উপকর
उपरिकेंद्र,উপকেন্দ্র
उपगुरु,উপগুরু
उपग्रह,উপগ্রহ
उपधारा,উপধারা
उपनगर,উপনগর
उपनाम,উপনাম
उपनिषदों,উপনিষদ
उपनेता,উপনেতা
उपन्यास,উপন্যাস
उपवास,উপবাস
उपभोक्ता,উপভোক্তা
उपमंत्री,উপমন্ত্রী
उपयुक्त,উপযুক্ত
उपयोगी,উপযোগী
उपलब्ध,উপলব্ধ
उपसचिव,উপসচিব
उपसमिति,উপসমিতি
उपसर्ग,উপসর্গ
उपस्री,উপস্ত্রী
उपहार,উপহার
उपहास,উপহাস
उपाध्यक्ष,উপাধ্যক্ষ
उपेक्षा,উপেক্ষা
उपेक्षित,উপেক্ষিত
उमर,উমর
उमा,উমা
उम्मीद,উমেদ
उर,উর
उर्स,উরস
उर्दू,উর্দু
उर्वशी,উর্বশী
उल्सान,উলসা
उलूक,উলুক
उलेमा,উলেমা
उल्का,উল্কা
उल्लंघन,উল্লঙ্ঘন
उल्लेख,উল্লেখ
ऊन,ঊর্ণা
ऋग्वेद,ঋগ্বেদ
ऋण,ঋণ
ऋणी,ঋণী
ऋतु,ঋতু
ऋषि,ঋষি
एक,এক
एकता,একতা
एकड़,একর
एकसौ,একশা
एकऔर,একাধার
एकाधिकार,একাধিকার
एकीकरण,একীকরণ
एक्का,এক্কা
एजेंटों,এজেন্ট
एजेंसी,এজেন্সি
एड़ी,এড়ি
एटेला,এতেলা
एंडी,এন্ডি
एफ,এফ
एम,এম
एला,এলা
एशियाई,এশীয়
ऐच्छिक,ঐচ্ছিক
ऐतरेय,ঐতরেয়
ऐतिहासिक,ঐতিহাসিক
ऐसा,ঐশ
ओकरा,ওকড়া
ओकी,ওকি
ओजोन,ওজোন
ओझा,ওঝা
ओरंग,ওরাং
ओला,ওলা
ओएस,ওস
औचित्य,ঔচিত্য
औपनिवेशिक,ঔপনিবেশিক
कक्ष,কক্ষ
कंकाल,কঙ্কাল
कांच,কচ
रंग,রং
कंजूस,কঞ্জুস
कटोरा,কটোরা
कठिन,কঠিন
कठोर,কঠোর
कोई,কেউ
कौशिकी,কৌশিকী
कमी,কমতি
कौड़ी,কড়ি
कण,কণা
कलंक,কণিকা
कथक,কত্থক
कदाचार,কদাচার
कान्हा,কন্হা
कंधा,কন্ধ
कॉप,কপ
कफ,কফ
कॉफ़ी,কফি
काज,কবজা
कबड्डी,কবাডি
कवि,কবি
कबूतर,কবুতর
कब,কবে
कम,কম
कमंडल,কমণ্ডলু
कंपन,কম্পন
कंपाउंडर,কম্পাউন্ডার
कम्बल,কম্বল
कोयला,কয়লা
करंजा,করঞ্জ
करणी,করণী
कराधान,করাধান
कॉर्क,কর্ক
कान,কর্ণ
कॉर्नर,কর্ণিকা
कर्तव्य,কর্তব্য
कपूर,কর্পূর
कार्य,কর্ম
कॉल,কল
कालका,কলকা
कलम,কলমি
कोलंबो,কলম্ব
केले,কলা
कॉलर,কলার
कली,কলি
कलिंग,কলিঙ্গ
कॉलेज,কলেজ
कल्कि,কল্কি
कल्याण,কল্যাণ
कसारा,কশা়ড়
कसौटी,কষ্টি
कसाई,কসাই
कव्वाली,কাওয়ালি
केकड़ा,কাঁকড়া
कंकड़,কাঁকর
कच्चा,কাঁচা
कैंची,কাঁচি
कांटा,কাঁটা
कांठा,কাঁথা
काकोली,কাকলি
काकातुआ,কাকাতুয়া
कक्षाका,কাক্ষিক
कागज़,কাগজ
काजल,কাজল
काजी,কাজি
कंचन,কাঞ্চন
कांजी,কাঞ্জি
काटना,কাটন
कटनी,কাটনি
कटलेट,কাটলেট
कैट्या,কাট্য
कथा,কাঠা
कतला,কাতলা
कतर,কাতার
कात्यायनी,কাত্যায়নী
कदंब,কাদম্ব
कादम्बरी,কাদম্বরী
कादम्बिनी,কাদম্বিনী
कनाटा,কানাত
कानी,কানি
कांत,কান্ত
कांता,কান্তা
कांति,কান্তি
कप,কাপ
कपड़ा,কাপড়
कापस,কাপাস
कप्तान,কাপ্তেন
कफ़न,কাফন
काफिर,কাফির
काबा,কাবা
कैन,কাবিল
काबुली,কাবুলি
कविता,কাব্য
कामरूप,কামরূপ
कामाख्या,কামাখ্যা
कमानी,কামানি
कमल,কামাল
कामिनी,কামিনী
कार,কার
कारण,কারণ
करी,কারি
कार्ड,কার্ড
कार्तिक,কার্তিক
कारतूस,কার্তুজ
कपास,কার্পাস
कल,কালকে
कलाचंद,কালাচাঁদ
कालाजार,কালাজ্বর
कालिका,কালিকা
कालिंदी,কালিন্দী
कालिया,কালিয়
काली,কালী
काला,কালো
खांसी,কাশি
काशी,কাশী
कश्मीरी,কাশ্মীরি
क्हान,কাহন
किंवदंती,কিংবদন্তি
कुछ,কিছু
किना,কিণ
किनारा,কিনার
कीमा,কিমা
कीरत,কিরাত
किलो,কিলো
किस्त,কিস্তি
किशमिश,কিশমিশ
किशोर,কিশোর
किष्किन्धा,কিষ্কিন্ধা
किस्मत,কিসমত
कुंगफू,কুংফু
कुमटा,কুঁতা
कुचला,কুচিলা
कुंज,কুঞ্জ
कुटी,কুটি
कुटिया,কুটির
कोठरी,কুঠরি
कुंडू,কুণ্ড
कुनिका,কুনিকা
कुंतला,কুন্তল
कुंदा,কুন্দ
करीना,কারিনা
कुबेर,কুবের
कुमकुम,কুমকুম
कुम्हार,কুমার
कुंभमेला,কুম্ভমেলা
कुंभराशि,কুম্ভরাশি
कुरु,কুরু
कुरुक्षेत्र,কুরুক্ষেত্র
कुर्ता,কুর্তা
कूर्द,কুর্দন
कुर्मी,কুর্মি
कुली,কুলি
कुलीन,কুলীন
कुश,কুশ
कुशासन,কুশাসন
कुष्ठ,কুষ্ঠ
क्रिस,করিস
कृतज्ञ,কৃতজ্ঞ
कृत्रिम,কৃত্রিম
कौनसा,কোনটা
कृषि,কৃষি
कृष्णा,কৃষ্ণ
केंचुआ,কেঁচো
केक,কেক
केतली,কেটলি
केरी,কেড়ি
केतकी,কেতকী
केतु,কেতু
क्यों,কেন
केंद्र,কেন্দ্র
केवल,কেবল
केबिन,কেবিন
केअर,কেয়ার
केरल,কেরল
किला,কেল্লা
केशव,কেশব
कैलाशबेसिनी,কৈলাসবাসিনী
केशिका,কৈশিক
कॉम्टे,কোঁত
कोक,কোক
कोयल,কোকিল
कोकीन,কোকেন
कोको,কোকো
कोच,কোচ
कोचबकस,কোচবাক্স
कोट,কোট
कोटा,কোটা
कॉर्ड,কোড়া
कोण,কোণ
कोतवाल,কোতোয়াল
कुदाल,কোদাল
कोना,কোনা
कमर,কোমর
कंपनी,কোম্পানি
कोर,কোর
कुरान,কোরান
कुरानशरीफ,কোরানশরিফ
कोर्ट,কোর্ট
कोरमा,কোর্মা
कोलोन,কোলন
कोला,কোলা
कोष,কোষা
कोसी,কোষী
कोस्टा,কোষ্টা
कोहिनोर,কোহিনুর
कौन्तेय,কৌন্তেয়
कौमुदी,কৌমুদী
कैंसर,ক্যানসার
कैमरा,ক্যামেরা
कैलेंडर,ক্যালেন্ডার
क्रमिकता,ক্রমায়াত
क्रय,ক্রয়
क्रॉस,ক্রস
क्रिकेट,ক্রিকেট
क्रियामन,ক্রিয়মাণ
क्रूजर,ক্রুজার
कोस,ক্রোশ
क्लब,ক্লাব
क्लोरीन,ক্লোরিন
क्षत्रिय,ক্ষত্রিয়
क्षमा,ক্ষমা
क्षार,ক্ষার
क्षारीय,ক্ষারীয়
क्षेत्र,ক্ষেত
खली,খইল
खंडन,খণ্ডন
खतना,খতনা
खनिज,খনিজ
ख़रगोश,খরগোশ
खरबूजा,খরমুজ
खरोष्ठी,খরোষ্ঠী
खलीफा,খলিফা
ख्वाजा,খাজা
खट्टा,খাট্টা
खड़ा,খাড়া
खातून,খাতুন
खादी,খাদী
खान,খান
ख़मीर,খামি
खाली,খালি
खिदमत,খিদমত
खुदाई,খুঁড়া
खुजली,খুজলি
खूबानी,খুবানি
खुराक,খুর
किराया,খেরাজ
खेल,খেল
खिलौना,খেলনা
खोज,খোঁজ
खूंटी,খোঁটা
खोल,খোল
गम,গঁদ
गंगोत्री,গঙ্গোত্রী
गज़ल,গজল
गज,গজা
गजानन,গজানন
गजेन्द्र,গজেন্দ্র
गंज,গঞ্জ
गांजा,গঞ্জা
गणित,গণিত
गणेश,গণেশ
गांडू,গণ্ডু
गद्दा,গদি
गद्य,গদ্য
गंडा,গন্ডা
गंतव्य,গন্তব্য
गंधक,গন্ধক
गंधर्व,গন্ধর্ব
गहरा,গভীর
गंभीर,গম্ভীর
गया,গয়ার
गारा,গর
गरम,গরম
गर्मी,গরমি
गरुड़,গরুড়
गरजना,গর্জক
गर्जना,গর্জন
गरदन,গর্দান
गर्भ,গর্ভ
गलन,গলন
गला,গলা
गाय,গাই
गायन,গাওয়া
गांव,গাঁ
गामी,গাঁই
गांठ,গাঁট
गेंदा,গাঁদা
गगन,গাঙ্গ
गंगा,গাঙ্গেয়
गैचा,গাছা
गाजर,গাজর
गाजी,গাজি
गैरी,গা়ড়ি
गारू,গাড়ু
गाढ़ा,গাঢ়
गणितीय,গাণিতিক
गत,গাত
गीत,গানটা
गादी,গাদি
गांधी,গান্ধি
गायक,গায়ক
गायत्री,গায়ত্রী
गार्जियन,গার্জিয়ান
गाल,গাল
गलीचा,গালিচা
गाह,গাহ
गिन्नी,গিনি
गिरगिट,গিরগিটি
गीता,গীতা
गुच्छा,গুচ্ছ
गुजराती,গুজরতি
गुंजन,গুঞ্জ
गुंजा,গুঞ্জা
गुड़,গুড়
गुणक,গুণাঙ্ক
गुणाढ्य,গুণাঢ্য
गुणा,গুন
गुप्त,গুপ্ত
गुफा,গুফা
गुंबद,গুম্বজ
गुओ,গুয়া
गुरु,গুরু
गुजरात,গুর্জর
गुलाब,গুল
गोली,গুলি
गुहा,গুহ
गृहिणी,গৃহিণী
गेट,গেট
गुरिल्ला,গেরিলা
गिलास,গেলাস
गैचिर,গৈরিক
गोकर्ण,গোকর্ণ
गोटा,গোট
गोथा,গোঠ
गोदान,গোদান
गोधा,গোধা
गोपिका,গোপিকা
गोबर,গোবর
गोवर्धन,গোবর্ধন
गोविंदा,গোবিন্দ
गौमुख,গোমুখ
गोमूत्र,গোমূত্র
गोरखा,গোর্খা
गोलार्ध,গোলার্ধ
गोलोक,গোলোক
गौशाला,গোশালা
गोहत्या,গোহত্যা
गौर,গৌড়
गौरी,গৌরী
गैस,গ্যাস
ग्रह,গ্রহ
ग्रहणी,গ্রহণী
ग्रामीण,গ্রামীণ
ग्रामोफ़ोन,গ্রামোফোন
ग्रीस,গ্রিসীয়
घटना,ঘটন
गठन,ঘট্টন
घड़ी,ঘড়
घंटे,ঘন্ট
घंटा,ঘন্টা
घंटी,ঘন্টী
घर,ঘর
घाटवाल,ঘাটোয়াল
घाटी,ঘাতী
घायल,ঘায়েল
घास,ঘাস
घी,ঘি
घूस,ঘুষ
घिरा,ঘেরাও
योग,যোগ
घोड़ा,ঘোড়া
घोष,ঘোষ
घोषित,ঘোষিত
चौड़ा,চওড়া
चक्कर,চক্কর
चक्र,চক্র
चोंच,চঞ্চু
चरक,চড়ক
चंडी,চণ্ডী
चतुराई,চতুরতা
चौगुना,চতুর্গুণ
चौथा,চতুর্থ
छत,চত্বর
चंदन,চন্দন
चंदना,চন্দনা
चंदा,চন্দা
चंद्रमा,চন্দ্র
चंद्रिका,চন্দ্রিকা
चंद्रिमा,চন্দ্রিমা
चंद्रोदय,চন্দ্রোদয়
चौबीस,চব্বিশ
चम्पक,চম্পক
चंपा,চম্পা
चुनना,চয়ন
चरकसंघिता,চরকসংহিতা
चरम,চরম
चरस,চরস
चरित्र,চরিত্র
चलो,চল
चालीस,চল্লিশ
चाय,চা
चावल,চাউল
चंदवा,চাঁদোয়া
चाकू,চাকু
चांग,চাং
चाचा,চাচা
चटनी,চাটনি
चादर,চাদর
चांद्र,চান্দ্র
छपरा,চাপড়া
चपाती,চাপাটি
चम्मच,চামচ
चमड़ा,চামড়া
चामुंडा,চামুণ্ডা
चार,চার
चालक,চালক
चलनी,চালনি
चेतना,চেতনা
चेकइन,চেকনাই
चिकित्सक,চিকিত্সক
चिट,চিত
चित्र,চিত্র
चित्रा,চিত্রা
चित्रण,চিত্রায়ণ
चीनी,চিনি
चिंतित,চিন্তিত
चिन्मय,চিন্ময়
चिमटा,চিমটা
चिमनी,চিমনি
चीर,চেরা
चिली,চিলে
चीन,চীন
चुगली,চুকলি
चूना,চুন
चुंबक,চুম্বক
चुंबन,চুম্বন
चौहत्तर,চুয়াত্তর
चौवन,চুয়ান্ন
चौरासी,চুরাশি
चोरी,চুরি
चुलबुल,চুলবুল
चूसने,চুষা
चूसना,চোষা
चूसा,চূষিত
चेतावनी,চেতাবনি
चपटा,চেপটা
चैत्य,চৈত্য
चैत्र,চৈত্র
चोट,চোট
चोर,চোর
चोल,চোল
चाउ,চৌ
चौधरी,চৌধুরী
चौबे,চৌবে
चुंबकीय,চৌম্বক
चतारा,ছটরা
चातक,ছটাক
छड़ी,ছড়
छाता,ছত্র
छत्रपति,ছত্রপতি
छह,ছয়
छलबल,ছলাকলা
छोटा,ছোট
छाती,ছাতি
छात्र,ছাত্র
चनाटा,ছানতা
चंद,ছান্দ
छाप,ছাপা
छप्पन,ছাপ্পান্ন
छत्तीस,ছাব্বিশ
छाया,ছায়া
छेद,ছিদ্র
छियासी,ছিয়াশি
छुट्टी,ছুটি
छाल,ছুলা
छेनी,ছেনি
जेरोम,জেরোম
जंग,জঙ্গ
जंगल,জঙ্গল
जंजीरा,জঞ্জির
जटिया,জটিয়া
जटिल,জটিল
जटिलता,জটিলতা
जाति,জটী
जनार्दन,জনার্দন
जानू,জনু
जन्म,জন্ম
जन्माष्टमी,জন্মাষ্টমী
जब्त,জব্দ
ज़मज़म,জমজম
जमा,জমা
जीत,জয়
जयंती,জয়ন্তী
जया,জয়া
जुर्माना,জরিমানা
जलीय,জলীয়
जौहरी,জহরি
जगाना,জাগরণ
जंगी,জাঙ্গি
जाट,জাট
जत्था,জাঠ
जायफल,জাতিফল
जादू,জাদু
ज्ञात,জানিত
जनवरी,জানুয়ারি
जानवर,জানোয়ার
जापानी,জাপানি
जमदानी,জামদানি
जामाता,জামাই
जगह,জায়গা
जागीर,জায়গির
जाल,জাল
जालसाजी,জালবাজি
जला,জালা
जहाज,জাহাজ
जहान,জাহান
जाह्नवी,জাহ্নবী
जिउ,জিউ
जीतना,জিতা
जलाओ,জ্বালায়
जीना,জিনা
जीवित,জিন্দা
जिंदगी,জিন্দেগি
जीभ,জিব
जिया,জিয়া
जीरा,জিরা
जिराफ़,জিরাফ
जील,জিল
जीवन,জীবন
जीवनजीना,জীবনাধিক
जीवनी,জীবনী
जीवाश्म,জীবাশ্ম
जूजीत्सू,জুজুত্সু
जोड़ा,জোড়া
जूता,জুতা
जूते,জুতো
जून,জুন
जूमा,জুমা
जुआ,জুয়া
जुआरी,জুয়াড়ি
जूरी,জুরি
जुलाई,জুলাই
जूली,জুলি
ज़ुलु,জুলু
जेठा,জেঠ
जेल,জেল
ज़िला,জেলা
जेली,জেলি
जैन,জৈন
जो,জো
जोंक,জোঁক
जोकर,জোকার
जोएल,জোল
ज़ोला,জোলা
ज्ञान,জ্ঞান
ज्वाला,জ্বলা
जलन,জ্বালা
जलाना,জ্বালানো
जैकेट,জ্যাকেট
ज्यामिति,জ্যামিতি
ज्योतिष,জ্যোতিষ
जेसी,জেসে
झाला,ঝলা
जीन,ঝাঁ
झांझ,ঝাঁজি
झाड़ी,ঝাড়
झटका,ঝাড়া
झाड़न,ঝাড়ন
झाड़ू,ঝাড়ু
झंडा,ঝান্ডা
झिम,ঝিঁ
झील,ঝিল
झिल्ली,ঝিল্লি
झूठा,ঝুঁট
झूला,ঝুলন
टोंग,টং
टक्कर,টক্কর
टंका,টঙ্কা
टन,টন
तपस,টপাস
टप्पा,টপ্পা
टब,টব
टाइप,টাইপ
टकसाल,টাঁকশাল
टोंगा,টাঙা
तानी,টাঙি
टाटा,টাট
ताज़ा,টাটকা
टट्टू,টাট্টু
टायर,টায়রা
टाइल,টালি
ट्यूशन,টিউশনি
टिकटॉक,টিকটিক
टीका,টিকা
टिकट,টিকিট
टिन,টিন
टिनटिन,টিনটিন
तिपाई,টিপাই
टिप्पणियां,টিপ্পনী
टिफिन,টিফিন
ट्विल,টুইল
टोकरी,টুকরি
तुनि,টুনি
टोपी,টুপি
टांग्रा,ট্যাংরা
टेढ़ा,টেড়া
तेरी,টেড়ি
टेलीग्राफ,টেলিগ্রাফ
टेलीफोन,টেলিফোন
टोटो,টোটো
तोरा,টোরা
टैक्सी,ট্যাক্সি
ट्रंक,ট্রাঙ্ক
ट्राम,ট্রাম
थाना,ঠন
ठाकुर,ঠাকুর
ठंड,ঠান্ডা
ठीकरा,ঠিকরা
ठेकेदार,ঠিকাদার
ठंडा,ঠান্ডায়
दर्जन,ডজন
डॉन,ডন
डमरू,ডমরু
डाकू,ডাকাত
डंडी,ডাণ্ডি
डाबर,ডাবর
डब्बा,ডাব্বা
डम्बल,ডাম্বেল
डकार,ডাকার
दीना,ডিঙা
डिपो,ডিপো
डुबकी,ডুব
देव,ডেও
डेक,ডেক
देग़चा,ডেকচি
डेंगू,ডেঙ্গু
डिप्टी,ডেপুটি
डेमी,ডেমি
डेस्क,ডেস্ক
डोंगी,ডোঙ্গা
दौला,ডৌল
ड्रम,ড্রাম
ड्रिल,ড্রিল
धना,ঢন
ढाबा,ঢব
डालो,ঢলা
ढक्कन,ঢাকনা
ढालू,ঢালু
ध्यान,ঢ্যাঙা
तक,তক
तनु,তনূ
तन्मय,তন্ময়
तपन,তপন
तापसी,তপসি
तपस्या,তপস্যা
तपस्वी,তপস্বী
तबला,তবলা
तरन,তরণ
तलवार,তরবারি
तरबूज़,তরমুজ
तरलीकृत,তরলীকৃত
ताला,তালার
तराई,তরাই
टोरू,তরু
तलाता,তলতা
तालिता,তলিত
तल,তলি
तस्लीम,তসলিম
ताहू,তহু
तंबू,তাঁবু
ताज,তাজ
ताजी,তাজি
तारक,তাড়কা
तोडी,তাড়ি
तरु,তাড়ু
